Date,Tos,Hos,Tug,Hog,Tug12,Hug12
11/13/24 11:40 PM,19.8,95,21.1,99,24.2,84
11/13/24 11:50 PM,19.7,95,21.1,99,24.2,84
11/14/24 12:00 AM,19.6,96,21,99,24.2,84
11/14/24 12:10 AM,19.6,96,21,99,24.2,84
11/14/24 12:20 AM,19.6,96,21,99,24.2,84
11/14/24 12:30 AM,19.6,96,20.9,99,24.2,84
11/14/24 12:40 AM,19.6,96,20.9,99,24.2,84
11/14/24 12:50 AM,19.6,96,21,99,24.2,84
11/14/24 7:31 AM,18.5,99,20.3,99,23.9,84
11/14/24 7:41 AM,18.6,99,20.4,99,23.9,84
11/14/24 7:51 AM,18.7,99,20.4,99,23.9,84
11/14/24 8:01 AM,18.7,99,20.5,99,23.9,84
11/14/24 8:11 AM,18.8,99,20.5,99,23.9,84
11/14/24 8:21 AM,18.8,99,20.5,99,23.9,84
11/14/24 8:31 AM,18.9,99,20.5,99,23.9,84
11/14/24 8:41 AM,19,99,20.6,99,23.9,84
11/14/24 8:51 AM,19.1,99,20.6,99,23.8,84
11/14/24 9:01 AM,19.3,99,20.6,99,23.8,84
11/14/24 9:11 AM,19.4,98,20.7,99,23.8,84
11/14/24 9:21 AM,19.4,97,20.7,99,23.8,84
11/14/24 9:31 AM,19.6,97,20.8,99,23.8,84
11/14/24 9:41 AM,19.8,97,20.9,99,23.8,84
11/14/24 9:51 AM,20.1,95,20.9,99,23.8,84
11/14/24 10:01 AM,20,95,20.9,99,23.8,84
11/14/24 10:11 AM,20.1,95,21,99,23.8,84
11/14/24 10:21 AM,20.1,94,21,99,23.8,84
11/14/24 10:31 AM,20.5,94,21.1,99,23.8,84
